sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
40,3,advan4,nonmem_scm,focei,14,VC,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,15,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,15,VC,CRCL,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,16,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,16,CL,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,16,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,17,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,18,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,19,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,19,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,20,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,21,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,21,VC,SEX,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,22,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,22,CL,RACE,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,22,VC,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,23,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,24,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,24,VC,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,25,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,25,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,26,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,26,CL,SEX,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,26,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,27,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,27,CL,BW,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,28,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,29,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,30,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,31,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,32,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,33,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,33,CL,SEX,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,33,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,34,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,35,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,36,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,36,CL,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,36,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,37,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,37,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,38,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,39,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,39,CL,SEX,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,40,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,41,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,41,VC,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,42,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,42,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,43,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,43,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,44,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,44,VC,CRCL,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,44,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,45,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,45,VC,CRCL,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,45,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,46,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,46,VC,BMI,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,47,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,47,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,48,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,48,CL,SEX,cat,FALSE,TRUE,FP
