sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,2,linCmt,43,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,43,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,44,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,45,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,45,cl,BW,lin,FALSE,TRUE,FP
40,2,linCmt,46,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,46,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,47,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,47,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,48,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,48,vc,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,48,vc,BW,lin,FALSE,TRUE,FP
40,2,linCmt,49,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,49,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,50,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,50,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,50,cl,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,51,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,52,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,52,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,53,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,54,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,54,cl,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,55,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,56,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,57,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,57,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,57,cl,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,58,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,58,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,59,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,60,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,60,vc,BW,power,FALSE,TRUE,FP
40,2,linCmt,60,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,60,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,61,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,61,cl,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,62,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,63,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,64,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,65,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,66,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,66,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,67,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,67,cl,BMI,power,FALSE,TRUE,FP
40,2,linCmt,67,vc,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,67,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,67,cl,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,68,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,68,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,69,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,69,vc,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,70,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,70,vc,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,71,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,71,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,71,cl,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,72,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,73,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,74,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,75,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,76,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,77,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,77,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,77,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,78,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,79,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,79,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,80,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,81,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,82,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,82,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,83,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,83,cl,BMI,power,FALSE,TRUE,FP
40,2,linCmt,83,vc,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,84,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,84,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,85,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,85,cl,BW,lin,FALSE,TRUE,FP
40,2,linCmt,86,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,86,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,87,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,87,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,87,vc,BW,power,FALSE,TRUE,FP
40,2,linCmt,88,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,88,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,89,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,90,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,91,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,92,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,93,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,94,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,94,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,95,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,95,vc,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,96,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,96,cl,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,97,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,97,cl,BW,lin,FALSE,TRUE,FP
40,2,linCmt,98,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,99,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,100,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,1,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,1,vc,BW,power,FALSE,TRUE,FP
40,2,ode,2,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,3,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,3,cl,CrCL,lin,FALSE,TRUE,FP
40,2,ode,4,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,5,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,6,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,6,cl,BMI,power,FALSE,TRUE,FP
40,2,ode,6,cl,BW,power,FALSE,TRUE,FP
40,2,ode,6,cl,SEX,cat,FALSE,TRUE,FP
40,2,ode,7,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,7,vc,CrCL,power,FALSE,TRUE,FP
40,2,ode,8,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,9,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,10,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,11,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,12,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,13,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,14,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,15,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,15,cl,RACE,cat,FALSE,TRUE,FP
40,2,ode,16,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,17,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,17,cl,SEX,cat,FALSE,TRUE,FP
40,2,ode,18,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,19,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,19,cl,BW,power,FALSE,TRUE,FP
40,2,ode,20,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,21,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,21,vc,BMI,power,FALSE,TRUE,FP
40,2,ode,21,vc,BW,lin,FALSE,TRUE,FP
40,2,ode,22,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,23,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,24,vc,SEX,cat,TRUE,FALSE,FN
40,2,ode,24,vc,BMI,power,FALSE,TRUE,FP
40,2,ode,24,vc,RACE,cat,FALSE,TRUE,FP
40,2,ode,24,cl,CrCL,power,FALSE,TRUE,FP
40,2,ode,24,vc,BW,lin,FALSE,TRUE,FP
40,2,ode,24,vc,CrCL,lin,FALSE,TRUE,FP
40,2,ode,25,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,26,vc,SEX,cat,TRUE,TRUE,TP
40,2,ode,26,cl,BMI,power,FALSE,TRUE,FP
40,2,ode,27,vc,SEX,cat,TRUE,TRUE,TP
