sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,11,linCmt,vc,BW,lin,30,FALSE,30,1,0,0,30
40,11,linCmt,vc,CrCL,lin,3,FALSE,3,1,0,0,3
40,11,linCmt,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,11,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,11,linCmt,vc,SEX,cat,12,FALSE,12,1,0,0,12
40,11,ode,cl,BW,power,100,TRUE,46,0.46,46,54,0
40,11,ode,vc,BW,power,100,TRUE,47,0.47,47,53,0
40,11,ode,cl,BMI,lin,14,FALSE,14,1,0,0,14
40,11,ode,cl,BMI,power,19,FALSE,19,1,0,0,19
40,11,ode,cl,BW,lin,27,FALSE,27,1,0,0,27
40,11,ode,cl,CrCL,lin,6,FALSE,6,1,0,0,6
40,11,ode,cl,CrCL,power,2,FALSE,2,1,0,0,2
40,11,ode,cl,RACE,cat,8,FALSE,8,1,0,0,8
40,11,ode,cl,SEX,cat,15,FALSE,15,1,0,0,15
40,11,ode,vc,BMI,lin,6,FALSE,6,1,0,0,6
40,11,ode,vc,BMI,power,16,FALSE,16,1,0,0,16
40,11,ode,vc,BW,lin,32,FALSE,32,1,0,0,32
40,11,ode,vc,CrCL,lin,2,FALSE,2,1,0,0,2
40,11,ode,vc,CrCL,power,6,FALSE,6,1,0,0,6
40,11,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,11,ode,vc,SEX,cat,12,FALSE,12,1,0,0,12
40,12,linCmt,cl,BW,power,100,TRUE,48,0.48,48,52,0
40,12,linCmt,vc,BW,power,100,TRUE,31,0.31,31,69,0
40,12,linCmt,vc,SEX,cat,100,TRUE,87,0.87,87,13,0
40,12,linCmt,cl,BMI,lin,8,FALSE,8,1,0,0,8
40,12,linCmt,cl,BMI,power,11,FALSE,11,1,0,0,11
40,12,linCmt,cl,BW,lin,33,FALSE,33,1,0,0,33
40,12,linCmt,cl,CrCL,lin,3,FALSE,3,1,0,0,3
40,12,linCmt,cl,CrCL,power,4,FALSE,4,1,0,0,4
40,12,linCmt,cl,RACE,cat,7,FALSE,7,1,0,0,7
40,12,linCmt,cl,SEX,cat,10,FALSE,10,1,0,0,10
40,12,linCmt,vc,BMI,lin,11,FALSE,11,1,0,0,11
40,12,linCmt,vc,BMI,power,21,FALSE,21,1,0,0,21
40,12,linCmt,vc,BW,lin,37,FALSE,37,1,0,0,37
40,12,linCmt,vc,CrCL,lin,4,FALSE,4,1,0,0,4
40,12,linCmt,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,12,linCmt,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,12,ode,cl,BW,power,100,TRUE,49,0.49,49,51,0
40,12,ode,vc,BW,power,100,TRUE,32,0.32,32,68,0
40,12,ode,vc,SEX,cat,100,TRUE,86,0.86,86,14,0
40,12,ode,cl,BMI,lin,8,FALSE,8,1,0,0,8
40,12,ode,cl,BMI,power,11,FALSE,11,1,0,0,11
40,12,ode,cl,BW,lin,32,FALSE,32,1,0,0,32
40,12,ode,cl,CrCL,lin,3,FALSE,3,1,0,0,3
40,12,ode,cl,CrCL,power,4,FALSE,4,1,0,0,4
40,12,ode,cl,RACE,cat,7,FALSE,7,1,0,0,7
40,12,ode,cl,SEX,cat,9,FALSE,9,1,0,0,9
40,12,ode,vc,BMI,lin,11,FALSE,11,1,0,0,11
40,12,ode,vc,BMI,power,20,FALSE,20,1,0,0,20
40,12,ode,vc,BW,lin,37,FALSE,37,1,0,0,37
40,12,ode,vc,CrCL,lin,4,FALSE,4,1,0,0,4
40,12,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
40,12,ode,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,13,linCmt,cl,BW,power,100,TRUE,33,0.33,33,67,0
40,13,linCmt,cl,CrCL,power,100,TRUE,71,0.71,71,29,0
