sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,2,ode,83,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,83,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,84,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,85,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,86,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,87,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,88,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,89,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,90,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,91,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,92,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,93,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,94,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,94,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,95,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,96,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,97,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,98,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,98,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,99,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,100,vc,SEX,cat,TRUE,TRUE,TP
80,3,linCmt,1,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,2,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,2,cl,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,2,cl,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,3,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,3,cl,SEX,cat,FALSE,TRUE,FP
80,3,linCmt,4,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,5,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,5,cl,BMI,power,FALSE,TRUE,FP
80,3,linCmt,5,cl,BW,power,FALSE,TRUE,FP
80,3,linCmt,6,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,7,vc,BW,power,TRUE,FALSE,FN
