sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,linCmt,vae,NA,95,ok,TRUE,TRUE,TRUE,-1512.6789304595181,3.8532866991345918,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,48.16261434555054,
80,1,linCmt,vae,NA,96,ok,TRUE,TRUE,TRUE,-1527.366368409195,7.040002643523719,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.18011522293091,
80,1,linCmt,vae,NA,97,ok,TRUE,TRUE,TRUE,-1487.649658127197,6.289239605135569,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,78.54271912574768,
80,1,linCmt,vae,NA,98,ok,TRUE,TRUE,TRUE,-1510.5380331296249,5.123425273245905,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,46.19287419319153,
80,1,linCmt,vae,NA,99,ok,TRUE,TRUE,TRUE,-1527.2881946450243,4.19390920386316,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.52812099456787,
80,1,linCmt,vae,NA,100,ok,TRUE,TRUE,TRUE,-1530.9373734307153,5.614232248047752,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.08546566963196,
80,1,ode,vae,NA,1,ok,TRUE,TRUE,TRUE,-1475.201342943484,53.355886827921054,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,60.22474813461304,
80,1,ode,vae,NA,2,ok,TRUE,TRUE,TRUE,-1534.1195945037634,4.170968908709032,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,74.40977263450623,
80,1,ode,vae,NA,3,ok,TRUE,TRUE,TRUE,-1499.0254597265646,6.3370965892721935,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,60.31700348854065,
80,1,ode,vae,NA,4,ok,TRUE,TRUE,TRUE,-1510.495874660939,603.6406988849786,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,60.3014600276947,
