sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,13,ode,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,14,linCmt,cl,BW,power,100,TRUE,88,0.88,88,12,0
80,14,linCmt,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,14,linCmt,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,14,linCmt,cl,BMI,power,12,FALSE,12,1,0,0,12
80,14,linCmt,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,14,linCmt,cl,SEX,cat,5,FALSE,5,1,0,0,5
80,14,linCmt,vc,BMI,power,5,FALSE,5,1,0,0,5
80,14,linCmt,vc,BW,power,7,FALSE,7,1,0,0,7
80,14,linCmt,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,14,ode,cl,BW,power,100,TRUE,89,0.89,89,11,0
80,14,ode,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,14,ode,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,14,ode,cl,BMI,power,11,FALSE,11,1,0,0,11
80,14,ode,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,14,ode,cl,SEX,cat,5,FALSE,5,1,0,0,5
80,14,ode,vc,BMI,power,5,FALSE,5,1,0,0,5
80,14,ode,vc,BW,power,7,FALSE,7,1,0,0,7
80,14,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,15,linCmt,cl,BW,power,100,TRUE,86,0.86,86,14,0
80,15,linCmt,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,15,linCmt,vc,BW,power,100,TRUE,89,0.89,89,11,0
80,15,linCmt,cl,BMI,power,15,FALSE,15,1,0,0,15
80,15,linCmt,cl,RACE,cat,7,FALSE,7,1,0,0,7
80,15,linCmt,cl,SEX,cat,6,FALSE,6,1,0,0,6
80,15,linCmt,vc,BMI,power,11,FALSE,11,1,0,0,11
80,15,linCmt,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,15,linCmt,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,15,linCmt,vc,SEX,cat,4,FALSE,4,1,0,0,4
80,15,ode,cl,BW,power,100,TRUE,86,0.86,86,14,0
80,15,ode,cl,CrCL,power,100,TRUE,99,0.99,99,1,0
80,15,ode,vc,BW,power,100,TRUE,90,0.9,90,10,0
80,15,ode,cl,BMI,power,15,FALSE,15,1,0,0,15
80,15,ode,cl,RACE,cat,7,FALSE,7,1,0,0,7
