sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,3,linCmt,focei,bobyqa,3,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,3,vc,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,4,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,5,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,5,cl,BMI,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,5,cl,BW,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,6,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,7,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,8,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,9,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,10,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,11,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,12,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,13,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,14,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,14,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,15,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,15,vc,CrCL,power,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,16,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,17,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,18,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,19,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,19,cl,RACE,cat,FALSE,TRUE,FP
80,3,linCmt,focei,bobyqa,20,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,21,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,22,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,23,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,24,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,25,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,26,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,27,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,28,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,29,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,30,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,31,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,32,vc,BW,power,TRUE,TRUE,TP
